bc_id,short_name,code,system_name,ncit_code
C115805,6MWT - Distance at 6 Minutes,64098-7,LOINC,C115805
C115805,6MWT - Distance at 6 Minutes,64098-7,LOINC,C115805
C115805,6MWT - Distance at 6 Minutes,64098-7,LOINC,C115805
C115805,6MWT - Distance at 6 Minutes,64098-7,LOINC,C115805
C115805,6MWT - Distance at 6 Minutes,64098-7,LOINC,C115805
C121113,APACHE II - Total APACHE II Score,9264-3,LOINC,C121113
C121113,APACHE II - Total APACHE II Score,9264-3,LOINC,C121113
C121113,APACHE II - Total APACHE II Score,9264-3,LOINC,C121113
C121113,APACHE II - Total APACHE II Score,9264-3,LOINC,C121113
C103346,Abdominal Skinfold Thickness,8355-0,LOINC,C103346
C103346,Abdominal Skinfold Thickness,8355-0,LOINC,C103346
C103346,Abdominal Skinfold Thickness,8355-0,LOINC,C103346
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117773,Aggregate PR Interval,8625-6,LOINC,C117773
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117779,Aggregate QRS Duration,8633-0,LOINC,C117779
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117783,Aggregate QT Interval,8634-8,LOINC,C117783
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117784,Aggregate QTCB Interval,76635-2,LOINC,C117784
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117786,Aggregate QTCF Interval,76634-5,LOINC,C117786
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C117791,Aggregate RR Interval,18505-8,LOINC,C117791
C120927,Airway Resistance,75946-4,LOINC,C120927
C120927,Airway Resistance,75946-4,LOINC,C120927
C120927,Airway Resistance,75946-4,LOINC,C120927
C74797,Anisocyte Measurement,38892-6,LOINC,C74797
