bc_id,short_name,ncit_code,ncit_dec_code
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,C127127,C70713
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,C127127,C70856
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,C127127,C48207
C115789,6 Minute Walk Functional Test 2008 Version,C115789,C82525
C115789,6 Minute Walk Functional Test 2008 Version,C115789,C82515
C115789,6 Minute Walk Functional Test 2008 Version,C115789,C93300
C115789,6 Minute Walk Functional Test 2008 Version,C115789,C25372
C115789,6 Minute Walk Functional Test 2008 Version,C115789,C82556
C115800,6MWT - Distance at 1 Minute,C115800,C82515
C115800,6MWT - Distance at 1 Minute,C115800,C42578
C115800,6MWT - Distance at 1 Minute,C115800,C25372
C115800,6MWT - Distance at 1 Minute,C115800,C91106
C115800,6MWT - Distance at 1 Minute,C115800,C93300
C115801,6MWT - Distance at 2 Minutes,C115801,C25372
C115801,6MWT - Distance at 2 Minutes,C115801,C93300
C115801,6MWT - Distance at 2 Minutes,C115801,C42578
C115801,6MWT - Distance at 2 Minutes,C115801,C91106
C115801,6MWT - Distance at 2 Minutes,C115801,C82515
C115802,6MWT - Distance at 3 Minutes,C115802,C91106
C115802,6MWT - Distance at 3 Minutes,C115802,C42578
C115802,6MWT - Distance at 3 Minutes,C115802,C93300
C115802,6MWT - Distance at 3 Minutes,C115802,C82515
C115802,6MWT - Distance at 3 Minutes,C115802,C25372
C115803,6MWT - Distance at 4 Minutes,C115803,C25372
C115803,6MWT - Distance at 4 Minutes,C115803,C82515
C115803,6MWT - Distance at 4 Minutes,C115803,C93300
C115803,6MWT - Distance at 4 Minutes,C115803,C42578
C115803,6MWT - Distance at 4 Minutes,C115803,C91106
C115804,6MWT - Distance at 5 Minutes,C115804,C91106
C115804,6MWT - Distance at 5 Minutes,C115804,C82515
C115804,6MWT - Distance at 5 Minutes,C115804,C25372
C115804,6MWT - Distance at 5 Minutes,C115804,C93300
C115804,6MWT - Distance at 5 Minutes,C115804,C42578
C115805,6MWT - Distance at 6 Minutes,C115805,C82515
C115805,6MWT - Distance at 6 Minutes,C115805,C25372
C115805,6MWT - Distance at 6 Minutes,C115805,C93300
C115805,6MWT - Distance at 6 Minutes,C115805,C42578
C115805,6MWT - Distance at 6 Minutes,C115805,C91106
C115409,6MWT Functional Test Question,C115409,
C100106,ADAS-Cog CDISC Version Functional Test Question,C100106,
C102044,AIMS - Current Teeth/Dentures Problems,C102044,C82515
C102044,AIMS - Current Teeth/Dentures Problems,C102044,C46126
C102044,AIMS - Current Teeth/Dentures Problems,C102044,C25692
C102044,AIMS - Current Teeth/Dentures Problems,C102044,C25372
