bc_id,short_name,synonyms
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,NNAL;Nicotine-Derived Nitrosamine Alcohol
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,NNAL;Nicotine-Derived Nitrosamine Alcohol
C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,NNAL;Nicotine-Derived Nitrosamine Alcohol
C115789,6 Minute Walk Functional Test 2008 Version,6MWT;SIXMW1;SIX MINUTE WALK
C115789,6 Minute Walk Functional Test 2008 Version,6MWT;SIXMW1;SIX MINUTE WALK
C115789,6 Minute Walk Functional Test 2008 Version,6MWT;SIXMW1;SIX MINUTE WALK
C115789,6 Minute Walk Functional Test 2008 Version,6MWT;SIXMW1;SIX MINUTE WALK
C115789,6 Minute Walk Functional Test 2008 Version,6MWT;SIXMW1;SIX MINUTE WALK
C115800,6MWT - Distance at 1 Minute,SIXMW101;SIXMW1-Distance at 1 Minute
C115800,6MWT - Distance at 1 Minute,SIXMW101;SIXMW1-Distance at 1 Minute
C115800,6MWT - Distance at 1 Minute,SIXMW101;SIXMW1-Distance at 1 Minute
C115800,6MWT - Distance at 1 Minute,SIXMW101;SIXMW1-Distance at 1 Minute
C115800,6MWT - Distance at 1 Minute,SIXMW101;SIXMW1-Distance at 1 Minute
C115801,6MWT - Distance at 2 Minutes,SIXMW102;SIXMW1-Distance at 2 Minutes
C115801,6MWT - Distance at 2 Minutes,SIXMW102;SIXMW1-Distance at 2 Minutes
C115801,6MWT - Distance at 2 Minutes,SIXMW102;SIXMW1-Distance at 2 Minutes
C115801,6MWT - Distance at 2 Minutes,SIXMW102;SIXMW1-Distance at 2 Minutes
C115801,6MWT - Distance at 2 Minutes,SIXMW102;SIXMW1-Distance at 2 Minutes
C115802,6MWT - Distance at 3 Minutes,SIXMW103;SIXMW1-Distance at 3 Minutes
C115802,6MWT - Distance at 3 Minutes,SIXMW103;SIXMW1-Distance at 3 Minutes
C115802,6MWT - Distance at 3 Minutes,SIXMW103;SIXMW1-Distance at 3 Minutes
C115802,6MWT - Distance at 3 Minutes,SIXMW103;SIXMW1-Distance at 3 Minutes
C115802,6MWT - Distance at 3 Minutes,SIXMW103;SIXMW1-Distance at 3 Minutes
C115803,6MWT - Distance at 4 Minutes,SIXMW104;SIXMW1-Distance at 4 Minutes
C115803,6MWT - Distance at 4 Minutes,SIXMW104;SIXMW1-Distance at 4 Minutes
C115803,6MWT - Distance at 4 Minutes,SIXMW104;SIXMW1-Distance at 4 Minutes
C115803,6MWT - Distance at 4 Minutes,SIXMW104;SIXMW1-Distance at 4 Minutes
C115803,6MWT - Distance at 4 Minutes,SIXMW104;SIXMW1-Distance at 4 Minutes
C115804,6MWT - Distance at 5 Minutes,SIXMW105;SIXMW1-Distance at 5 Minutes
C115804,6MWT - Distance at 5 Minutes,SIXMW105;SIXMW1-Distance at 5 Minutes
C115804,6MWT - Distance at 5 Minutes,SIXMW105;SIXMW1-Distance at 5 Minutes
C115804,6MWT - Distance at 5 Minutes,SIXMW105;SIXMW1-Distance at 5 Minutes
C115804,6MWT - Distance at 5 Minutes,SIXMW105;SIXMW1-Distance at 5 Minutes
C115805,6MWT - Distance at 6 Minutes,SIXMW106;SIXMW1-Distance at 6 Minutes
C115805,6MWT - Distance at 6 Minutes,SIXMW106;SIXMW1-Distance at 6 Minutes
C115805,6MWT - Distance at 6 Minutes,SIXMW106;SIXMW1-Distance at 6 Minutes
C115805,6MWT - Distance at 6 Minutes,SIXMW106;SIXMW1-Distance at 6 Minutes
C115805,6MWT - Distance at 6 Minutes,SIXMW106;SIXMW1-Distance at 6 Minutes
C115409,6MWT Functional Test Question,6MWT Question
C100106,ADAS-Cog CDISC Version Functional Test Question,ADAS-Cog CDISC Version Functional Test Question
C102044,AIMS - Current Teeth/Dentures Problems,AIMS01-Current Problems Teeth/Dentures;AIMS0111
C102044,AIMS - Current Teeth/Dentures Problems,AIMS01-Current Problems Teeth/Dentures;AIMS0111
C102044,AIMS - Current Teeth/Dentures Problems,AIMS01-Current Problems Teeth/Dentures;AIMS0111
C102044,AIMS - Current Teeth/Dentures Problems,AIMS01-Current Problems Teeth/Dentures;AIMS0111
C102044,AIMS - Current Teeth/Dentures Problems,AIMS01-Current Problems Teeth/Dentures;AIMS0111
C102042,AIMS - Incapacitation Due to Abnormal Movements,AIMS01-Incapacitation due Abn Movements;AIMS0109
C102042,AIMS - Incapacitation Due to Abnormal Movements,AIMS01-Incapacitation due Abn Movements;AIMS0109
C102042,AIMS - Incapacitation Due to Abnormal Movements,AIMS01-Incapacitation due Abn Movements;AIMS0109
C102042,AIMS - Incapacitation Due to Abnormal Movements,AIMS01-Incapacitation due Abn Movements;AIMS0109
C102042,AIMS - Incapacitation Due to Abnormal Movements,AIMS01-Incapacitation due Abn Movements;AIMS0109
C102036,AIMS - Jaw,AIMS01-Jaw;AIMS0103
C102036,AIMS - Jaw,AIMS01-Jaw;AIMS0103
C102036,AIMS - Jaw,AIMS01-Jaw;AIMS0103
C102036,AIMS - Jaw,AIMS01-Jaw;AIMS0103
C102036,AIMS - Jaw,AIMS01-Jaw;AIMS0103
C102035,AIMS - Lips and Perioral Area,AIMS01-Lips and Perioral Area;AIMS0102
C102035,AIMS - Lips and Perioral Area,AIMS01-Lips and Perioral Area;AIMS0102
C102035,AIMS - Lips and Perioral Area,AIMS01-Lips and Perioral Area;AIMS0102
C102035,AIMS - Lips and Perioral Area,AIMS01-Lips and Perioral Area;AIMS0102
C102035,AIMS - Lips and Perioral Area,AIMS01-Lips and Perioral Area;AIMS0102
C102039,AIMS - Lower Extremities,AIMS01-Lower Extremities;AIMS0106
C102039,AIMS - Lower Extremities,AIMS01-Lower Extremities;AIMS0106
C102039,AIMS - Lower Extremities,AIMS01-Lower Extremities;AIMS0106
C102039,AIMS - Lower Extremities,AIMS01-Lower Extremities;AIMS0106
C102039,AIMS - Lower Extremities,AIMS01-Lower Extremities;AIMS0106
C102034,AIMS - Muscles of Facial Expression,AIMS01-Muscles of Facial Expression;AIMS0101
C102034,AIMS - Muscles of Facial Expression,AIMS01-Muscles of Facial Expression;AIMS0101
C102034,AIMS - Muscles of Facial Expression,AIMS01-Muscles of Facial Expression;AIMS0101
C102034,AIMS - Muscles of Facial Expression,AIMS01-Muscles of Facial Expression;AIMS0101
C102034,AIMS - Muscles of Facial Expression,AIMS01-Muscles of Facial Expression;AIMS0101
C102040,"AIMS - Neck, Shoulders, Hips","AIMS01-Neck, Shoulders, Hips;AIMS0107"
C102040,"AIMS - Neck, Shoulders, Hips","AIMS01-Neck, Shoulders, Hips;AIMS0107"
C102040,"AIMS - Neck, Shoulders, Hips","AIMS01-Neck, Shoulders, Hips;AIMS0107"
C102040,"AIMS - Neck, Shoulders, Hips","AIMS01-Neck, Shoulders, Hips;AIMS0107"
C102040,"AIMS - Neck, Shoulders, Hips","AIMS01-Neck, Shoulders, Hips;AIMS0107"
C102045,AIMS - Patient Usually Wears Dentures,AIMS01-Patient Usually Wear Dentures;AIMS0112
C102045,AIMS - Patient Usually Wears Dentures,AIMS01-Patient Usually Wear Dentures;AIMS0112
C102045,AIMS - Patient Usually Wears Dentures,AIMS01-Patient Usually Wear Dentures;AIMS0112
